"OO_5961"	"0.36077844311377244 - 42.50207468879668"
"OO_5962"	"0.29707112970711297 - 30.95774647887324"
"OO_5963"	"0.33229329173166927 - 36.70422535211268"
"OO_5964"	"0.2822222222222222 - 32.74015748031496"
"OO_5965"	"0.5152 - 36.99689440993789"
"OO_5966"	"0.46996466431095407 - 54.05263157894737"
"OO_5967"	"0.5185546875 - 52.26741996233522"
"OO_5968"	"0.39119804400978 - 44.35"
"OO_5969"	"0.4701298701298701 - 35.26519337016575"
"OO_5970"	"0.45164835164835165 - 39.86861313868613"
"OO_5971"	"0.36678832116788324 - 45.940298507462686"
"OO_5972"	"0.41148325358851673 - 35.77906976744186"
"OO_5973"	"0.3394736842105263 - 34.06201550387597"
"OO_5974"	"0.3732193732193732 - 41.725190839694655"
"OO_5975"	"0.3653250773993808 - 45.78813559322034"
"OO_5976"	"0.26878612716763006 - 48.473118279569896"
"OO_5977"	"0.25416666666666665 - 39.51639344262295"
"OO_5978"	"0.4289940828402367 - 39.749425287356324"
"OO_5979"	"0.3152909336941813 - 50.96995708154506"
"OO_5980"	"0.38741721854304634 - 39.10683760683761"
"OO_5981"	"0.32597402597402597 - 50.55776892430279"
"OO_5982"	"0.384928716904277 - 63.03968253968254"
"OO_5983"	"0.5269016697588126 - 23.693661971830984"
"OO_5984"	"0.45164835164835165 - 62.45742092457421"
"OO_5985"	"0.35932721712538224 - 27.817021276595746"
"OO_5986"	"0.30513595166163143 - 39.915841584158414"
"OO_5987"	"0.35931790499390986 - 34.81694915254237"
"OO_5988"	"0.5391211146838156 - 38.84095427435388"
"OO_5989"	"0.36477987421383645 - 42.0301724137931"
"OO_5990"	"0.3224932249322493 - 45.588235294117645"
"OO_5991"	"0.3346897253306205 - 35.10334346504559"
"OO_5992"	"0.39652448657187994 - 50.70517928286853"
"OO_5993"	"0.3783494105037513 - 50.01699716713881"
"OO_5994"	"0.3675937122128174 - 32.1578947368421"
"OO_5995"	"0.5095298602287166 - 44.33915211970075"
"OO_5996"	"0.3293838862559242 - 52.02158273381295"
"OO_5997"	"0.4805194805194805 - 79.759009009009"
"OO_5998"	"0.328 - 50.28658536585366"
"OO_5999"	"0.2818371607515658 - 38.6"
"OO_6000"	"0.3469387755102041 - 29.58823529411765"
"OO_6001"	"0.4426229508196721 - 45.96296296296296"
"OO_6002"	"0.31016042780748665 - 28.448275862068964"
"OO_6003"	"0.30857142857142855 - 22.87037037037037"
"OO_6004"	"0.4603960396039604 - 34.44086021505376"
"OO_6005"	"0.3669724770642202 - 46.4"
"OO_6006"	"0.4791666666666667 - 40.34782608695652"
"OO_6007"	"0.5523255813953488 - 31.25263157894737"
"OO_6008"	"0.39893617021276595 - 40.29333333333334"
"OO_6009"	"0.39361702127659576 - 34.25675675675676"
"OO_6010"	"0.32160804020100503 - 57.4375"
"OO_6011"	"0.42162162162162165 - 35.166666666666664"
"OO_6012"	"0.391304347826087 - 27.416666666666668"
"OO_6013"	"0.3021978021978022 - 21.581818181818182"
"OO_6014"	"0.5416666666666666 - 54.13461538461539"
"OO_6015"	"0.3951612903225806 - 41.16326530612245"
"OO_6016"	"0.3732394366197183 - 54.943396226415096"
"OO_6017"	"0.33879781420765026 - 43.61290322580645"
"OO_6018"	"0.3790849673202614 - 36.98275862068966"
"OO_6019"	"0.3269230769230769 - 27.50980392156863"
"OO_6020"	"0.41818181818181815 - 24.347826086956523"
"OO_6021"	"0.35377358490566035 - 35.53333333333333"
"OO_6022"	"0.35542168674698793 - 37.220338983050844"
"OO_6023"	"0.35514018691588783 - 43.8421052631579"
"OO_6024"	"0.33163265306122447 - 28.923076923076923"
"OO_6025"	"0.49557522123893805 - 56.857142857142854"
"OO_6026"	"0.40331491712707185 - 45.76712328767123"
"OO_6027"	"0.5 - 37.333333333333336"
"OO_6028"	"0.5 - 41.5875"
"OO_6029"	"0.27388535031847133 - 59.627906976744185"
"OO_6030"	"0.41714285714285715 - 35.68493150684932"
"OO_6031"	"0.2215909090909091 - 62.41025641025641"
"OO_6032"	"0.2537313432835821 - 57.911764705882355"
"OO_6033"	"0.3202247191011236 - 47.92982456140351"
"OO_6034"	"0.27647058823529413 - 37.53191489361702"
"OO_6035"	"0.33620689655172414 - 39.02564102564103"
"OO_6036"	"0.3812154696132597 - 76.28985507246377"
"OO_6037"	"0.4391891891891892 - 20.46153846153846"
"OO_6038"	"0.577639751552795 - 40.70967741935484"
"OO_6039"	"0.3170731707317073 - 27.46153846153846"
"OO_6040"	"0.47619047619047616 - 43.08"
"OO_6041"	"0.2761904761904762 - 39.6551724137931"
"OO_6042"	"0.4301675977653631 - 33.05194805194805"
"OO_6043"	"0.3142857142857143 - 38.72727272727273"
"OO_6044"	"0.3875968992248062 - 55.5"
"OO_6045"	"0.31125827814569534 - 40.87234042553192"
