"AA_2255"	"0.348922512608895_28.650459921156372"
"AA_2262"	"0.40363349131121645_37.228962818003914"
"AA_2269"	"0.3805309734513274_36.88919288645691"
"AA_2276"	"0.46145374449339205_41.71599045346062"
"AA_2283"	"0.4680017414018285_43.307906976744185"
"AA_2290"	"0.42378185069289226_32.87552742616034"
"AA_2297"	"0.3491928632115548_34.127737226277375"
"AA_230"	"0.41198501872659177_38.18636363636364"
"AA_2304"	"0.40417910447761196_36.450516986706056"
"AA_2311"	"0.43279022403258655_38.18"
"AA_2318"	"0.3900379907133812_36.33441558441559"
"AA_2325"	"0.47588717015468607_39.606118546845124"
"AA_2332"	"0.3271461716937355_32.97446808510638"
"AA_2339"	"0.4297994269340974_40.352222222222224"
"AA_2346"	"0.4663372452130945_47.370860927152314"
"AA_2353"	"0.4688841201716738_41.98283752860412"
"AA_2360"	"0.4306083650190114_36.24282560706402"
"AA_2367"	"0.4917525773195876_46.9874213836478"
"AA_237"	"0.23529411764705882_18.9375"
"AA_2374"	"0.35209713024282563_37.84952978056426"
"AA_2381"	"0.4604889141557703_32.92469135802469"
"AA_2388"	"0.4730666666666667_41.46110484780158"
"AA_2395"	"0.46849757673667203_42.73620689655172"
"AA_24"	"0.2891125343092406_43.05379746835443"
"AA_2402"	"0.47881572230729963_36.4317697228145"
"AA_2409"	"0.4802494802494803_43.16883116883117"
"AA_2423"	"0.42273964318113094_32.374105865522175"
"AA_2430"	"0.38593974175035867_40.10780669144982"
"AA_2437"	"0.33780276816608995_35.40973111395647"
"AA_244"	"0.3117134559535334_34.93167701863354"
"AA_2444"	"0.39867986798679866_42.783112582781456"
"AA_2451"	"0.3419847328244275_32.75"
"AA_2458"	"0.38620142743854086_33.67043121149897"
"AA_2465"	"0.49115646258503404_36.418282548476455"
"AA_2472"	"0.38256658595641646_42.050632911392405"
"AA_2479"	"0.38678769541099345_32.87092568448501"
"AA_2486"	"0.43400211193241817_35.08515815085158"
"AA_2493"	"0.35576036866359445_29.958549222797927"
"AA_2500"	"0.5_12.8"
"AA_2507"	"0.330188679245283_30.090476190476192"
"AA_251"	"0.4301572617946346_48.03655913978495"
